Year,Anomaly
185001,-1.04
185002,0.49
185003,0.13
185004,-1.8
185005,-2.02
185006,-0.86
185007,-0.78
185008,-1.73
185009,-1.47
185010,-3.08
185011,-2.07
185012,-2.23
185101,-1.2
185102,-1.08
185103,0.39
185104,-2.48
185105,-0.68
185106,0.13
185107,-1.96
185108,-0.79
185109,-1.03
185110,-1.94
185111,-3.88
185112,-1.96
185201,-1.07
185202,-0.64
185203,0.35
185204,-1.05
185205,-1.9
185206,-0.46
185207,-0.38
185208,-0.41
185209,-1.62
185210,-2
185211,-2
185212,-1.18
185301,-2.31
185302,-1.83
185303,-0.25
185304,-1.89
185305,-1.07
185306,-0.22
185307,-1.3
185308,-0.35
185309,-2.14
185310,-1.66
185311,-3.88
185312,-2.72
185401,-2.36
185402,-0.39
185403,0.18
185404,-2.28
185405,-1.92
185406,-1.7
185407,-1.2
185408,-1.47
185409,-1.82
185410,-2.05
185411,-1.76
185412,-1.45
185501,-1.89
185502,-0.88
185503,0.23
185504,-3.22
185505,-1.9
185506,-1.31
185507,-0.67
185508,-0.33
185509,-1.84
185510,-2.53
185511,-3.55
185512,-2.06
185601,-0.89
185602,-0.84
185603,1.21
185604,-2.7
185605,-1.19
185606,-0.34
185607,0.59
185608,-0.25
185609,-1.99
185610,-1.85
185611,-1.88
185612,-0.94
185701,-0.92
185702,-1.4
185703,0.1
185704,-2.75
185705,-0.01
185706,-0.26
185707,-0.1
185708,0.18
185709,-0.29
185710,-2.45
185711,-2.51
185712,-3.07
185801,-1.06
185802,0.05
185803,0.45
185804,-2.61
185805,-1.94
185806,0.13
185807,-0.55
185808,-0.23
185809,-1.81
185810,-2.41
185811,-2.9
185812,-2.03
185901,-2.06
185902,-1.69
185903,-0.3
185904,-2.86
185905,-1.66
185906,-0.5
185907,-0.66
185908,-0.74
185909,-0.38
185910,-1.87
185911,-2.9
185912,-3.37
186001,-0.26
186002,-1.07
186003,-0.05
186004,-2.81
186005,-1.06
186006,-0.35
186007,0.09
186008,-0.96
186009,-1.91
186010,-1.15
186011,-1.78
186012,-1.58
186101,-0.68
186102,-1.62
186103,-0.67
186104,-2.76
186105,-1.8
186106,-1.78
186107,-1.14
186108,-1.58
186109,-2.26
186110,-2.29
186111,-2.13
186112,-1.91
186201,0.44
186202,-0.73
186203,0.32
186204,-2.6
186205,-1.33
186206,-0.25
186207,-0.99
186208,-1.15
186209,-2.78
186210,-3.61
186211,-3.13
186212,-1.9
186301,-3.02
186302,-3.11
186303,-0.68
186304,-3.24
186305,-2.13
186306,-0.75
186307,-0.97
186308,-1.03
186309,-2.75
186310,-2.05
186311,-3.29
186312,-2.48
186401,-1.71
186402,-1.98
186403,0.19
186404,-1.1
186405,-0.4
186406,-0.21
186407,-0.37
186408,-0.27
186409,-1.16
186410,-1.37
186411,-2.24
186412,-2.09
186501,-1.11
186502,0.09
186503,0.98
186504,-2.49
186505,-1.86
186506,-0.53
186507,-1.06
186508,-0.24
186509,-0.9
186510,-1.62
186511,-2.61
186512,-3.23
186601,-2.13
186602,-0.74
186603,-0.52
186604,-2.44
186605,-0.87
186606,-0.77
186607,-1.02
186608,-0.47
186609,-1.92
186610,-1.44
186611,-2.9
186612,-2
186701,-1.43
186702,-1.13
186703,0.6
186704,-2.2
186705,-0.59
186706,-0.41
186707,-0.82
186708,-0.46
186709,-1.75
186710,-1.92
186711,-1.11
186712,-1.39
186801,-0.47
186802,-0.63
186803,0.29
186804,-3.01
186805,-1.9
186806,-1.04
186807,-0.9
186808,-0.85
186809,-1.53
186810,-0.85
186811,-1.97
186812,-1.5
186901,-0.14
186902,-2.1
186903,-0.25
186904,-3.14
186905,-1.69
186906,0.44
186907,-0.92
186908,0.25
186909,-1.54
186910,-1.76
186911,-2.85
186912,-2.31
187001,-0.91
187002,-0.2
187003,0.94
187004,-2.91
187005,-1.06
187006,-1.39
187007,-1.39
187008,0.26
187009,-1.27
187010,-2.04
187011,-2.29
187012,-0.85
187101,-1.79
187102,-0.51
187103,-0.71
187104,-2.28
187105,-0.4
187106,-0.24
187107,-1.39
187108,-0.64
187109,-1.37
187110,-2.06
187111,-3.38
187112,-0.37
187201,-0.26
187202,-1.12
187203,0.47
187204,-1.41
187205,-1.4
187206,-0.3
187207,-0.51
187208,-0.34
187209,-1.04
187210,-2.22
187211,-2.36
187212,-1.84
187301,0.13
187302,-0.59
187303,0.07
187304,-1.03
187305,0.03
187306,-0.41
187307,-0.99
187308,-1.08
187309,-1.66
187310,-1.96
187311,-2.45
187312,-1.53
187401,-1.38
187402,-1.05
187403,-0.89
187404,-3
187405,-0.25
187406,-1.29
187407,-1.38
187408,-1.48
187409,-2.23
187410,-1.96
187411,-1.23
187412,-1.43
187501,-0.64
187502,-1.98
187503,-1.09
187504,-1.56
187505,-2.05
187506,-2.36
187507,-2.06
187508,-0.77
187509,-1
187510,-1.73
187511,-1.84
187512,-0.92
187601,-1.53
187602,-1.58
187603,-0.17
187604,-1.81
187605,0.04
187606,-0.07
187607,-1.57
187608,-0.43
187609,-0.99
187610,-2.63
187611,-2.46
187612,-1.16
187701,-1.56
187702,-1.05
187703,0.22
187704,-1.26
187705,-1.38
187706,-0.93
187707,-0.33
187708,-0.14
187709,-1.44
187710,-0.96
187711,-2.24
187712,-0.68
187801,0.38
187802,-0.86
187803,-0.58
187804,-1.74
187805,-1.6
187806,-0.03
187807,-0.53
187808,-0.12
187809,-2
187810,-2.04
187811,-1.51
187812,-0.8
187901,-1.53
187902,-1.17
187903,-0.45
187904,-1.49
187905,-1.61
187906,-0.9
187907,-0.11
187908,-0.68
187909,-1.51
187910,-1.38
187911,-1.8
187912,-1.84
188001,-0.07
188002,1.28
188003,0.39
188004,-1.57
188005,-1.14
188006,-0.06
188007,-0.65
188008,-0.3
188009,-1
188010,-2.04
188011,-3.22
188012,-2.23
188101,-1.36
188102,-1.45
188103,-0.15
188104,-2.06
188105,-0.97
188106,0.27
188107,-0.87
188108,-1
188109,-1.41
188110,-1.67
188111,-2.24
188112,-0.83
188201,-1.31
188202,-0.96
188203,0.34
188204,-2.3
188205,-0.91
188206,0.19
188207,-0.71
188208,-0.59
188209,-1.67
188210,-1.27
188211,-1.27
188212,-1.34
188301,0.4
188302,1.22
188303,-0.22
188304,-2.27
188305,-1.48
188306,-1.16
188307,-1.2
188308,-0.96
188309,-1.01
188310,-1.36
188311,-1.71
188312,-1.47
188401,-0.65
188402,-0.89
188403,0.83
188404,-1.25
188405,0.03
188406,0.02
188407,0.26
188408,0.25
188409,-0.72
188410,-0.46
188411,-0.37
188412,-0.47
188501,1.79
188502,-0.01
188503,-0.09
188504,-1.26
188505,-0.39
188506,-0.02
188507,0.78
188508,-1.11
188509,-1.83
188510,-1.92
188511,-2.31
188512,-0.76
188601,0.49
188602,0.11
188603,0.27
188604,-1.94
188605,-0.8
188606,-0.12
188607,-1.35
188608,-0.99
188609,-1.33
188610,-2.32
188611,-2.71
188612,-1.78
188701,-0.21
188702,0.11
188703,0.27
188704,-1.98
188705,-0.21
188706,0.71
188707,-0.81
188708,-0.36
188709,-1.6
188710,-1.52
188711,-1.94
188712,-0.2
188801,-0.3
188802,-0.47
188803,-0.15
188804,-1.69
188805,-1.21
188806,0.13
188807,-1.21
188808,-0.74
188809,-0.48
188810,-1.4
188811,-2.05
188812,-0.38
188901,1.76
188902,-1.33
188903,0.53
188904,-1.95
188905,-0.64
188906,-0.96
188907,-1.59
188908,-1.18
188909,-2.03
188910,-1.68
188911,-2.35
188912,0.09
189001,1.55
189002,-0.3
189003,-0.1
189004,-3.14
189005,-2
189006,-0.41
189007,-1.4
189008,-1.73
189009,-2.45
189010,-2.2
189011,-2.29
189012,0.01
189101,0.74
189102,1.29
189103,-0.11
189104,-1.44
189105,-0.79
189106,-0.39
189107,-0.68
189108,-0.62
189109,-1.83
189110,-1.6
189111,-2.58
189112,-1.7
189201,-0.74
189202,-1.67
189203,-0.09
189204,-2.15
